Applicant_Income,Loan_Amount,Credit_Score,Debt_to_Income_Ratio,Employment_History,Previous_Defaults,Loan_Term,Interest_Rate,Loan_Purpose,Marital_Status,Number_of_Dependents,Residence_Status,Bankruptcies,Annual_Expenses,Co-Applicant_Income,Education_Level,Self_Employed,Home_Ownership,Credit_History_Length,Missed_Payments,Loan_Application_Type,Monthly_Installment,Employment_Type,State,Default
74751,34932,801,0.25,24,5,24,12.63,Education,Divorced,4,Rented,2,63223,75219,Bachelor's,0,Rent,2,3,Joint,2420,Salaried,PA,0
80293,58904,385,0.34,27,0,60,11.23,Medical,Widowed,0,Owned,3,115483,83525,Master's,0,Own,33,4,Joint,5438,Salaried,PA,0
112684,7312,487,0.26,2,1,72,6.57,Personal,Divorced,2,Rented,2,104294,97917,High School,0,Rent,3,2,Individual,1359,Salaried,OH,0
60391,9213,442,0.81,22,4,48,9.24,Home Improvement,Widowed,2,Owned,2,16246,45343,PhD,0,Rent,27,8,Individual,5660,Salaried,GA,1
86173,37333,598,0.2,7,5,60,10.77,Home Improvement,Married,5,Owned,2,25933,75206,Master's,1,Own,21,8,Joint,475,Retired,OH,0
103556,58595,539,0.65,36,3,60,10.92,Education,Single,2,Mortgaged,3,33264,75388,PhD,1,Rent,9,8,Individual,152,Unemployed,PA,1
146861,38756,698,0.53,6,0,36,4.34,Medical,Married,0,Rented,1,39853,35348,PhD,1,Own,12,8,Individual,5795,Self-Employed,NY,0
111493,20276,644,0.78,22,5,48,15.48,Personal,Divorced,1,Rented,0,48682,80866,PhD,0,Own,10,1,Joint,1799,Self-Employed,IL,0
154064,14614,613,0.55,2,1,72,9.21,Business,Single,1,Mortgaged,3,112412,62849,High School,0,Rent,14,7,Joint,5439,Unemployed,MI,0
57817,31056,376,0.81,23,5,48,12.0,Business,Married,0,Rented,1,56723,54763,Master's,0,Rent,5,3,Individual,5854,Unemployed,PA,0
103447,26725,729,0.36,35,1,72,3.38,Personal,Widowed,0,Owned,3,80199,82360,Bachelor's,0,Mortgage,27,7,Joint,224,Self-Employed,NC,1
116642,6145,450,0.4,7,3,72,12.44,Personal,Married,5,Rented,3,96750,39950,High School,0,Rent,20,9,Individual,5598,Unemployed,NY,1
