Applicant_Income,Loan_Amount,Credit_Score,Previous_Defaults,Interest_Rate,Loan_Purpose,Number_of_Dependents,Residence_Status,Home_Ownership,Employment_Type,Default
141958,38905,558,2,4.77,Medical,4,Rented,Own,Retired,0
35795,32103,402,2,14.59,Personal,4,Mortgaged,Rent,Unemployed,0
20860,41188,400,4,10.05,Personal,0,Mortgaged,Mortgage,Salaried,0
123694,10845,497,2,12.67,Personal,1,Rented,Mortgage,Retired,1
148106,26162,525,4,8.7,Education,4,Mortgaged,Own,Retired,0
139879,41674,762,2,11.54,Personal,3,Rented,Rent,Retired,0
130268,24337,536,2,14.62,Personal,3,Rented,Rent,Unemployed,1
96820,27313,325,2,6.86,Personal,4,Owned,Rent,Self-Employed,0
74886,31943,420,4,8.8,Medical,0,Rented,Rent,Self-Employed,1
26265,17413,805,4,8.93,Home Improvement,3,Owned,Mortgage,Self-Employed,0
102386,5276,481,3,14.9,Personal,0,Mortgaged,Rent,Salaried,0
148214,22611,842,0,5.41,Personal,2,Rented,Own,Retired,0
57194,44105,614,0,10.94,Medical,2,Owned,Mortgage,Salaried,0
107498,16944,572,0,4.23,Home Improvement,0,Owned,Own,Unemployed,0
132727,20906,531,2,14.09,Medical,4,Mortgaged,Rent,Self-Employed,0
146324,25536,719,0,9.88,Business,2,Owned,Rent,Unemployed,0
64131,32810,741,4,13.24,Business,2,Rented,Mortgage,Salaried,1
80263,17306,795,3,13.69,Business,3,Rented,Rent,Self-Employed,0
36023,15503,323,1,9.46,Personal,4,Owned,Own,Unemployed,0
61090,24225,408,3,11.03,Medical,0,Rented,Mortgage,Unemployed,1
87221,41976,801,0,11.23,Personal,2,Rented,Rent,Unemployed,1
84820,16590,324,0,8.26,Business,4,Owned,Own,Unemployed,0
20769,15886,486,4,7.94,Home Improvement,2,Mortgaged,Rent,Salaried,0
79735,17866,587,3,4.83,Home Improvement,3,Mortgaged,Rent,Salaried,0
82955,6088,637,4,7.3,Medical,4,Rented,Rent,Retired,0
84925,8363,336,4,14.88,Home Improvement,1,Owned,Rent,Unemployed,0
141637,37792,436,1,5.87,Business,3,Rented,Own,Salaried,0
87969,14764,807,4,12.03,Medical,0,Rented,Mortgage,Self-Employed,1
25311,25620,526,4,3.24,Medical,4,Owned,Own,Self-Employed,1
123355,47727,619,1,8.34,Business,2,Mortgaged,Own,Retired,0
124724,17935,481,2,3.23,Business,4,Rented,Mortgage,Unemployed,0
103104,13068,385,2,8.45,Business,0,Mortgaged,Mortgage,Retired,0
73707,12295,766,1,2.84,Business,4,Rented,Rent,Self-Employed,1
105305,46160,352,4,10.17,Medical,2,Owned,Rent,Self-Employed,1
48693,16390,534,0,9.83,Home Improvement,3,Owned,Own,Retired,0
91932,46216,732,3,12.47,Business,3,Mortgaged,Rent,Unemployed,1
147723,25131,795,0,9.79,Education,2,Rented,Mortgage,Salaried,1
113016,34218,399,0,14.07,Medical,1,Owned,Mortgage,Retired,0
126970,15433,702,4,12.29,Personal,1,Rented,Rent,Retired,1
45658,20038,695,3,4.16,Home Improvement,3,Rented,Own,Retired,0
104478,33182,826,3,5.82,Medical,0,Mortgaged,Rent,Unemployed,0
142537,16528,714,2,2.83,Business,4,Rented,Mortgage,Retired,0
38431,26281,762,1,7.33,Education,2,Rented,Mortgage,Unemployed,0
22747,13605,840,4,8.87,Personal,0,Mortgaged,Own,Salaried,0
143855,39782,663,3,14.32,Home Improvement,4,Owned,Mortgage,Salaried,1
79150,6381,429,4,9.03,Business,3,Rented,Own,Retired,0
85725,6098,383,2,12.26,Medical,2,Rented,Own,Salaried,0
149981,24810,570,0,5.85,Medical,0,Owned,Rent,Retired,0
104654,29322,543,3,4.41,Home Improvement,4,Mortgaged,Rent,Self-Employed,1
55773,46869,687,2,12.64,Education,3,Owned,Own,Salaried,0
139346,37955,513,4,5.59,Business,3,Rented,Rent,Self-Employed,0
87435,49716,465,2,13.39,Home Improvement,4,Rented,Mortgage,Salaried,1
76886,15207,358,2,4.62,Home Improvement,1,Mortgaged,Own,Retired,0
86803,26793,803,2,13.14,Medical,1,Mortgaged,Own,Unemployed,1
51551,7092,422,2,12.16,Home Improvement,4,Owned,Rent,Salaried,0
136216,33220,712,2,10.14,Personal,4,Mortgaged,Own,Unemployed,0
31394,23514,438,2,13.13,Personal,4,Owned,Own,Retired,0
89092,43010,528,1,6.63,Business,3,Owned,Own,Retired,1
23890,13549,573,4,4.58,Home Improvement,2,Rented,Rent,Unemployed,0
61606,27031,738,0,4.46,Medical,3,Owned,Own,Salaried,0
116276,10185,417,4,5.88,Business,3,Owned,Own,Self-Employed,0
145768,20271,782,3,8.08,Education,1,Mortgaged,Own,Self-Employed,0
100038,10776,694,3,13.45,Medical,4,Mortgaged,Rent,Retired,1
107313,17449,759,4,3.62,Education,3,Rented,Own,Retired,1
30627,29297,377,2,13.94,Business,3,Rented,Own,Retired,1
28792,45591,711,1,14.07,Personal,4,Rented,Rent,Self-Employed,0
128859,20717,374,0,11.59,Medical,2,Owned,Own,Retired,1
128557,45123,594,2,13.75,Medical,1,Mortgaged,Own,Retired,0
93969,44233,320,4,12.12,Business,0,Owned,Own,Retired,0
63001,15350,470,4,9.1,Medical,3,Rented,Own,Unemployed,0
96552,35622,314,1,10.01,Medical,2,Mortgaged,Own,Retired,1
43897,40323,510,1,10.35,Business,0,Owned,Mortgage,Self-Employed,0
88148,7951,385,4,4.09,Home Improvement,4,Mortgaged,Own,Unemployed,0
141729,22622,448,2,4.91,Business,0,Owned,Mortgage,Salaried,0
144243,9727,671,2,9.04,Medical,4,Rented,Mortgage,Self-Employed,1
140923,43454,779,2,3.94,Business,2,Owned,Mortgage,Retired,0
140174,41469,450,0,14.56,Medical,0,Owned,Mortgage,Salaried,0
43483,40548,440,0,8.84,Education,1,Rented,Mortgage,Salaried,0
144358,28782,368,2,7.25,Education,2,Rented,Rent,Unemployed,0
68555,33454,559,4,4.47,Personal,0,Owned,Rent,Retired,0
145436,7368,820,1,7.71,Business,3,Owned,Rent,Unemployed,0
37159,20592,670,3,6.28,Business,0,Owned,Mortgage,Retired,0
130510,27173,718,1,3.6,Education,0,Rented,Own,Retired,0
126530,38204,400,1,14.59,Education,1,Rented,Own,Unemployed,0
100077,40596,542,3,5.81,Education,2,Rented,Own,Retired,0
55920,39324,811,2,11.13,Personal,3,Mortgaged,Own,Unemployed,0
112067,28864,394,1,3.64,Personal,2,Mortgaged,Rent,Self-Employed,1
87121,35750,525,3,13.91,Home Improvement,2,Rented,Mortgage,Unemployed,0
89479,15576,817,4,9.88,Business,3,Mortgaged,Rent,Salaried,0
109475,21566,513,4,10.71,Personal,3,Mortgaged,Own,Self-Employed,0
39457,12190,366,4,12.27,Medical,1,Owned,Mortgage,Self-Employed,0
86557,28071,695,2,10.07,Business,4,Owned,Own,Retired,0
97189,43333,311,1,3.39,Home Improvement,1,Owned,Rent,Self-Employed,0
129109,20369,536,1,7.87,Education,3,Mortgaged,Rent,Self-Employed,0
98953,29035,698,0,5.78,Home Improvement,0,Mortgaged,Rent,Unemployed,0
72995,6589,706,4,8.58,Business,0,Owned,Own,Self-Employed,0
60757,30235,779,2,7.55,Education,2,Owned,Mortgage,Self-Employed,0
29692,5159,521,3,12.83,Home Improvement,2,Rented,Mortgage,Self-Employed,1
65758,17145,455,2,5.59,Home Improvement,4,Mortgaged,Rent,Unemployed,0
149425,20373,727,1,5.02,Business,4,Owned,Mortgage,Unemployed,1
92409,36921,457,4,14.48,Personal,4,Owned,Own,Self-Employed,0
91211,44323,715,0,14.37,Medical,4,Owned,Mortgage,Self-Employed,0
85697,21237,625,2,14.92,Home Improvement,0,Mortgaged,Own,Retired,0
57065,46971,670,0,9.6,Medical,3,Owned,Rent,Salaried,1
112093,13244,643,1,3.91,Business,4,Owned,Rent,Self-Employed,0
119299,19743,561,3,13.5,Business,1,Owned,Rent,Salaried,0
149293,36566,582,2,4.31,Personal,4,Owned,Mortgage,Salaried,0
52606,23691,528,1,4.44,Education,0,Owned,Own,Retired,1
147791,38996,579,4,4.92,Medical,2,Rented,Rent,Self-Employed,1
31534,10590,589,2,10.67,Home Improvement,1,Owned,Own,Unemployed,0
114663,10585,346,0,3.84,Education,4,Rented,Rent,Unemployed,0
60397,14227,513,2,12.23,Medical,0,Mortgaged,Own,Self-Employed,0
146678,33278,323,1,3.23,Medical,2,Mortgaged,Rent,Salaried,1
111387,43814,620,1,3.88,Education,4,Mortgaged,Own,Unemployed,0
21016,17237,573,0,7.93,Education,0,Mortgaged,Own,Unemployed,0
109789,20649,612,1,7.24,Personal,0,Mortgaged,Own,Salaried,0
75591,42713,662,2,14.87,Home Improvement,3,Owned,Mortgage,Retired,1
109812,12927,679,0,14.59,Home Improvement,0,Owned,Rent,Retired,0
43247,12016,769,1,4.87,Home Improvement,4,Mortgaged,Own,Unemployed,0
44300,19027,415,1,14.33,Education,0,Owned,Mortgage,Salaried,0
94065,29142,341,2,11.15,Personal,1,Rented,Mortgage,Self-Employed,1
102798,28545,678,1,7.61,Business,0,Rented,Mortgage,Salaried,0
29268,36897,505,2,11.75,Personal,0,Owned,Own,Unemployed,1
106807,8167,765,4,13.75,Education,1,Mortgaged,Own,Retired,0
