Applicant_Income,Loan_Amount,Credit_Score,Debt_to_Income_Ratio,Employment_History,Previous_Defaults,Loan_Term,Interest_Rate,Loan_Purpose,Marital_Status,Number_of_Dependents,Residence_Status,Bankruptcies,Annual_Expenses,Co-Applicant_Income,Education_Level,Self_Employed,Home_Ownership,Credit_History_Length,Missed_Payments,Loan_Application_Type,Monthly_Installment,Employment_Type,State,Default
141958,38905,558,0.64,24,2,60,4.77,Medical,Married,4,Rented,1,82572,14348,High School,0,Own,10,9,Joint,3669,Retired,NY,0
35795,32103,402,0.52,21,2,12,14.59,Personal,Married,4,Mortgaged,1,64455,4533,Bachelor's,0,Rent,14,2,Joint,3288,Unemployed,NY,0
20860,41188,400,0.55,26,4,60,10.05,Personal,Widowed,0,Mortgaged,1,18478,1422,Master's,1,Mortgage,23,7,Joint,4862,Salaried,NC,0
123694,10845,497,0.63,23,2,60,12.67,Personal,Single,1,Rented,0,38883,75747,High School,0,Mortgage,28,1,Individual,3659,Retired,MI,1
148106,26162,525,0.18,11,4,48,8.7,Education,Married,4,Mortgaged,1,21800,90776,Master's,0,Own,29,2,Individual,616,Retired,PA,0
139879,41674,762,0.68,17,2,12,11.54,Personal,Married,3,Rented,1,72459,14735,High School,0,Rent,15,8,Joint,4260,Retired,GA,0
130268,24337,536,0.59,15,2,12,14.62,Personal,Divorced,3,Rented,2,16839,52595,Bachelor's,0,Rent,11,1,Individual,4852,Unemployed,CA,1
96820,27313,325,0.5,3,2,36,6.86,Personal,Divorced,4,Owned,1,51808,78827,High School,0,Rent,8,9,Individual,2312,Self-Employed,MI,0
74886,31943,420,0.72,11,4,24,8.8,Medical,Married,0,Rented,1,73469,11870,High School,0,Rent,27,0,Individual,3430,Self-Employed,FL,1
26265,17413,805,0.59,32,4,60,8.93,Home Improvement,Divorced,3,Owned,2,10334,74286,High School,0,Mortgage,17,2,Individual,1036,Self-Employed,OH,0
102386,5276,481,0.24,21,3,36,14.9,Personal,Divorced,0,Mortgaged,0,92806,84452,Bachelor's,0,Rent,3,9,Joint,2392,Salaried,NY,0
148214,22611,842,0.4,17,0,36,5.41,Personal,Married,2,Rented,0,38617,96672,PhD,0,Own,1,5,Joint,3907,Retired,IL,0
57194,44105,614,0.45,32,0,60,10.94,Medical,Single,2,Owned,1,40369,53913,PhD,1,Mortgage,7,7,Individual,4775,Salaried,CA,0
107498,16944,572,0.14,26,0,48,4.23,Home Improvement,Single,0,Owned,0,27258,78306,PhD,0,Own,21,9,Individual,3067,Unemployed,IL,0
132727,20906,531,0.77,18,2,48,14.09,Medical,Single,4,Mortgaged,0,45334,11559,High School,0,Rent,2,4,Joint,1984,Self-Employed,PA,0
146324,25536,719,0.19,13,0,60,9.88,Business,Widowed,2,Owned,0,21878,29510,PhD,0,Rent,10,1,Individual,2578,Unemployed,IL,0
64131,32810,741,0.59,24,4,12,13.24,Business,Single,2,Rented,0,71926,38828,High School,0,Mortgage,18,7,Joint,4189,Salaried,GA,1
80263,17306,795,0.45,33,3,24,13.69,Business,Widowed,3,Rented,1,77309,75434,Master's,0,Rent,7,1,Individual,4700,Self-Employed,PA,0
36023,15503,323,0.12,23,1,48,9.46,Personal,Widowed,4,Owned,1,13753,49942,High School,0,Own,5,3,Individual,4578,Unemployed,CA,0
61090,24225,408,0.75,37,3,24,11.03,Medical,Divorced,0,Rented,2,47274,81710,Master's,0,Mortgage,29,8,Individual,3683,Unemployed,PA,1
